repo_name,PR Title,PR Number,State,Created At,URL,URL status,stars,nb_commits,nb_pulls,nb_chatgpt,nb_issues,contributors,forks,watchers,size,created_at,push_at,is_forked,language,topics,Participants
raghusharma1/APIsFulfillment,API test (Using API Spec) generated by RoostGPT,607,open,2025-01-01 11:42:37+00:00,https://github.com/raghusharma1/APIsFulfillment/pull/607,True,0,24,762,8,762,3,0,0,3440,2024-10-11 08:57:45+00:00,2025-01-28 11:43:39+00:00,True,,[],1.0
raghusharma1/java-springboot,API test (Using API Spec) generated by RoostGPT,696,open,2025-01-01 11:42:31+00:00,https://github.com/raghusharma1/java-springboot/pull/696,True,0,2,881,8,881,1,1,0,2207,2024-09-06 08:03:05+00:00,2025-01-28 11:43:18+00:00,True,,[],1.0
raghusharma1/java-springboot,API test (Using API Spec) generated by RoostGPT,695,open,2025-01-01 11:41:48+00:00,https://github.com/raghusharma1/java-springboot/pull/695,True,0,2,881,8,881,1,1,0,2207,2024-09-06 08:03:05+00:00,2025-01-28 11:43:18+00:00,True,,[],1.0
raghusharma1/APIsFulfillment,API test (Using API Spec) generated by RoostGPT,605,open,2025-01-01 03:00:23+00:00,https://github.com/raghusharma1/APIsFulfillment/pull/605,True,0,24,762,8,762,3,0,0,3440,2024-10-11 08:57:45+00:00,2025-01-28 11:43:39+00:00,True,,[],1.0
raghusharma1/APIsFulfillment,API test (Using API Spec) generated by RoostGPT,604,open,2025-01-01 02:58:16+00:00,https://github.com/raghusharma1/APIsFulfillment/pull/604,True,0,24,762,8,762,3,0,0,3440,2024-10-11 08:57:45+00:00,2025-01-28 11:43:39+00:00,True,,[],1.0
raghusharma1/java-springboot,API test (Using API Spec) generated by RoostGPT,692,open,2025-01-01 02:58:17+00:00,https://github.com/raghusharma1/java-springboot/pull/692,True,0,2,881,8,881,1,1,0,2207,2024-09-06 08:03:05+00:00,2025-01-28 11:43:18+00:00,True,,[],1.0
raghusharma1/APIsFulfillment,API test (Using API Spec) generated by RoostGPT,603,open,2025-01-01 02:57:32+00:00,https://github.com/raghusharma1/APIsFulfillment/pull/603,True,0,24,762,8,762,3,0,0,3440,2024-10-11 08:57:45+00:00,2025-01-28 11:43:39+00:00,True,,[],1.0
raghusharma1/java-springboot,API test (Using API Spec) generated by RoostGPT,691,open,2025-01-01 02:57:24+00:00,https://github.com/raghusharma1/java-springboot/pull/691,True,0,2,881,8,881,1,1,0,2207,2024-09-06 08:03:05+00:00,2025-01-28 11:43:18+00:00,True,,[],1.0
raghusharma1/APIsFulfillment,API test (Using API Spec) generated by RoostGPT,610,open,2025-01-01 11:46:13+00:00,https://github.com/raghusharma1/APIsFulfillment/pull/610,True,0,24,762,8,762,3,0,0,3440,2024-10-11 08:57:45+00:00,2025-01-28 11:43:39+00:00,True,,[],1.0
raghusharma1/java-springboot,API test (Using API Spec) generated by RoostGPT,697,open,2025-01-01 11:45:57+00:00,https://github.com/raghusharma1/java-springboot/pull/697,True,0,2,881,8,881,1,1,0,2207,2024-09-06 08:03:05+00:00,2025-01-28 11:43:18+00:00,True,,[],1.0
raghusharma1/java-springboot,API test (Using API Spec) generated by RoostGPT,694,open,2025-01-01 11:41:19+00:00,https://github.com/raghusharma1/java-springboot/pull/694,True,0,2,881,8,881,1,1,0,2207,2024-09-06 08:03:05+00:00,2025-01-28 11:43:18+00:00,True,,[],1.0
raghusharma1/APIsFulfillment,API test (Using API Spec) generated by RoostGPT,606,open,2025-01-01 03:01:33+00:00,https://github.com/raghusharma1/APIsFulfillment/pull/606,True,0,24,762,8,762,3,0,0,3440,2024-10-11 08:57:45+00:00,2025-01-28 11:43:39+00:00,True,,[],1.0
raghusharma1/java-springboot,API test (Using API Spec) generated by RoostGPT,693,open,2025-01-01 03:01:09+00:00,https://github.com/raghusharma1/java-springboot/pull/693,True,0,2,881,8,881,1,1,0,2207,2024-09-06 08:03:05+00:00,2025-01-28 11:43:18+00:00,True,,[],1.0
raghusharma1/java-springboot,API test (Using API Spec) generated by RoostGPT,690,open,2025-01-01 02:56:57+00:00,https://github.com/raghusharma1/java-springboot/pull/690,True,0,2,881,8,881,1,1,0,2207,2024-09-06 08:03:05+00:00,2025-01-28 11:43:18+00:00,True,,[],3.0
microsoft/graphrag,"Add LiteLLM - support for Ollama, Vertex AI, Gemini, Anthropic, Bedrock (100+LLMs) ",1575,open,2025-01-01 17:00:07+00:00,https://github.com/microsoft/graphrag/pull/1575,True,21954,312,809,1,1409,48,2176,21954,185246,2024-03-27 17:57:52+00:00,2025-01-28 17:57:57+00:00,False,Python,"['graphrag', 'rag', 'llm', 'llms', 'gpt', 'gpt-4', 'gpt4']",1.0
kaushalpowar/talk_to_pdf,"
feat: Enhance Talk to PDF app with improved structure and error handling
",31,open,2025-01-01 14:38:21+00:00,https://github.com/kaushalpowar/talk_to_pdf/pull/31,True,8,60,37,4,38,1,5,8,2596,2023-04-19 12:29:01+00:00,2025-01-02 17:05:47+00:00,False,Python,"['ai', 'gpt-3', 'llm', 'nlp', 'nlp-machine-learning', 'opeanai', 'ghdesktop', 'github', 'learn']",2.0
mozilla-ai/lumigator,"Add LiteLLM - support for Vertex AI, Gemini, Anthropic, Bedrock (100+LLMs)",552,open,2025-01-01 16:53:30+00:00,https://github.com/mozilla-ai/lumigator/pull/552,True,131,928,512,1,760,19,15,131,8900,2024-03-18 17:52:00+00:00,2025-01-28 17:23:18+00:00,False,Python,[],1.0
kaushalpowar/talk_to_pdf,"
feat: Refactor codebase and improve UI
",38,open,2025-01-01 17:05:38+00:00,https://github.com/kaushalpowar/talk_to_pdf/pull/38,True,8,60,37,4,38,1,5,8,2596,2023-04-19 12:29:01+00:00,2025-01-02 17:05:47+00:00,False,Python,"['ai', 'gpt-3', 'llm', 'nlp', 'nlp-machine-learning', 'opeanai', 'ghdesktop', 'github', 'learn']",1.0
kaushalpowar/talk_to_pdf,"
feat: Enhance Talk to PDF app with improved UI and structure
",35,open,2025-01-01 16:29:28+00:00,https://github.com/kaushalpowar/talk_to_pdf/pull/35,True,8,60,37,4,38,1,5,8,2596,2023-04-19 12:29:01+00:00,2025-01-02 17:05:47+00:00,False,Python,"['ai', 'gpt-3', 'llm', 'nlp', 'nlp-machine-learning', 'opeanai', 'ghdesktop', 'github', 'learn']",1.0
kaushalpowar/talk_to_pdf,"
feat: Enhance Talk to PDF app with improved error handling and new features
",37,open,2025-01-01 16:58:06+00:00,https://github.com/kaushalpowar/talk_to_pdf/pull/37,True,8,60,37,4,38,1,5,8,2596,2023-04-19 12:29:01+00:00,2025-01-02 17:05:47+00:00,False,Python,"['ai', 'gpt-3', 'llm', 'nlp', 'nlp-machine-learning', 'opeanai', 'ghdesktop', 'github', 'learn']",0.0
khulnasoft/gpt-computer-agent,⬆ Bump upsonic from 0.28.4 to 0.34.3,80,open,2025-01-01 09:38:17+00:00,https://github.com/khulnasoft/gpt-computer-agent/pull/80,True,27,128,79,2,83,5,11,27,2361,2024-06-04 19:48:09+00:00,2025-01-06 16:10:09+00:00,False,Python,"['agent-based-model', 'agentops', 'assistent', 'chatgpt', 'gpt-4', 'gpt4', 'openai', 'ubuntu', 'langchain', 'ai']",6.0
Significant-Gravitas/AutoGPT,feat(blocks): Add AI/ML API support to LLM blocks,9163,open,2025-01-01 13:06:28+00:00,https://github.com/Significant-Gravitas/AutoGPT/pull/9163,True,170905,6289,5027,1,8137,438,44931,170905,203744,2023-03-16 09:21:07+00:00,2025-01-28 18:10:35+00:00,False,Python,"['ai', 'gpt-4', 'openai', 'python', 'artificial-intelligence', 'autonomous-agents']",0.0
ioBroker/ioBroker.javascript,Update openai requirement from ^4.57.0 to ^4.77.0 in /src,1781,open,2025-01-01 03:20:59+00:00,https://github.com/ioBroker/ioBroker.javascript/pull/1781,True,327,2965,682,1,1814,74,119,327,381577,2014-08-20 15:25:28+00:00,2025-01-27 09:47:37+00:00,False,JavaScript,"['iobroker', 'smarthome', 'home-automation', 'script-engine', 'blockly', 'javascript']",5.0
openai/openai-realtime-api-beta,Custom Realtime Model Selection,92,open,2025-01-01 19:41:27+00:00,https://github.com/openai/openai-realtime-api-beta/pull/92,True,846,23,27,1,98,5,238,846,147,2024-09-30 21:11:38+00:00,2024-11-07 22:51:02+00:00,False,JavaScript,"['javascript', 'nodejs', 'openai', 'typescript']",0.0
khulnasoft/gpt-computer-agent,⬆ Bump pydantic from 2.7.2 to 2.10.4,81,open,2025-01-01 10:20:17+00:00,https://github.com/khulnasoft/gpt-computer-agent/pull/81,True,27,128,79,2,83,5,11,27,2361,2024-06-04 19:48:09+00:00,2025-01-06 16:10:09+00:00,False,Python,"['agent-based-model', 'agentops', 'assistent', 'chatgpt', 'gpt-4', 'gpt4', 'openai', 'ubuntu', 'langchain', 'ai']",0.0
Harmanpreet-Microsoft/psl-byo-main,build: bump openai from 1.6.1 to 1.58.1 in /ClientAdvisor/AzureFunction,111,open,2025-01-01 19:47:17+00:00,https://github.com/Harmanpreet-Microsoft/psl-byo-main/pull/111,True,0,621,119,3,119,19,0,0,70245,2024-11-18 08:40:22+00:00,2025-01-22 06:09:59+00:00,True,TypeScript,[],0.0
Harmanpreet-Microsoft/psl-byo-main,build: bump openai from 1.6.1 to 1.58.1 in /ResearchAssistant/App,103,open,2025-01-01 19:13:06+00:00,https://github.com/Harmanpreet-Microsoft/psl-byo-main/pull/103,True,0,621,119,3,119,19,0,0,70245,2024-11-18 08:40:22+00:00,2025-01-22 06:09:59+00:00,True,TypeScript,[],0.0
Harmanpreet-Microsoft/psl-byo-main,build: bump openai from 1.6.1 to 1.58.1 in /ClientAdvisor/App,98,open,2025-01-01 19:09:42+00:00,https://github.com/Harmanpreet-Microsoft/psl-byo-main/pull/98,True,0,621,119,3,119,19,0,0,70245,2024-11-18 08:40:22+00:00,2025-01-22 06:09:59+00:00,True,TypeScript,[],0.0
microsoft/Build-your-own-copilot-Solution-Accelerator,build: bump openai from 1.55.3 to 1.58.1 in /ClientAdvisor/App,265,open,2025-01-01 21:02:07+00:00,https://github.com/microsoft/Build-your-own-copilot-Solution-Accelerator/pull/265,True,151,532,287,1,292,16,88,151,91381,2024-03-05 06:00:39+00:00,2025-01-28 13:13:36+00:00,False,TypeScript,[],0.0
heristop/gutenku,chore(deps): bump openai from 4.47.3 to 4.77.0,190,open,2025-01-01 11:18:56+00:00,https://github.com/heristop/gutenku/pull/190,True,13,759,187,1,192,2,0,13,425069,2023-02-10 16:46:51+00:00,2025-01-28 00:00:05+00:00,False,TypeScript,"['poem-generator', 'vue3', 'haiku-generator', 'natural-language', 'markov-chain', 'gutenberg-project', 'gpt-4-api', 'apollo-server', 'dall-e-3']",0.0
peoplesj/bolt-js-assistant-template,Bump openai from 4.63.0 to 4.77.0,13,open,2025-01-01 22:27:38+00:00,https://github.com/peoplesj/bolt-js-assistant-template/pull/13,True,0,2,13,1,13,1,0,0,245,2024-10-22 15:10:32+00:00,2025-01-01 22:27:41+00:00,False,JavaScript,[],0.0
MJHR89/slack-bedrock-assistant,Bump openai from 4.63.0 to 4.77.0,13,open,2025-01-01 14:09:33+00:00,https://github.com/MJHR89/slack-bedrock-assistant/pull/13,True,0,3,15,1,15,2,0,0,356,2024-10-24 17:52:06+00:00,2025-01-01 14:09:49+00:00,False,JavaScript,[],0.0
derogab/voicemail,chore(deps): bump openai from 4.73.1 to 4.77.0,26,open,2025-01-01 15:11:35+00:00,https://github.com/derogab/voicemail/pull/26,True,1,73,30,1,30,2,0,1,1071,2024-07-24 23:50:10+00:00,2025-01-01 15:12:02+00:00,False,TypeScript,"['ai', 'cloudflare-workers', 'voicemail']",0.0
Alec2435/mcp-bot,Bump openai from 4.74.0 to 4.77.0,5,open,2025-01-01 21:56:25+00:00,https://github.com/Alec2435/mcp-bot/pull/5,True,31,2,7,1,7,1,11,31,139,2024-12-12 19:21:29+00:00,2025-01-01 21:56:36+00:00,False,TypeScript,[],0.0
jonaypelluz/craftAPIxplorer,build(deps): bump openai from 4.28.4 to 4.77.0,127,open,2025-01-01 18:41:21+00:00,https://github.com/jonaypelluz/craftAPIxplorer/pull/127,True,0,76,129,1,129,2,0,0,15099,2020-02-26 09:39:29+00:00,2025-01-01 18:42:25+00:00,False,JavaScript,[],0.0
Undertone0809/gcop,:arrow_up: Bump openai from 1.54.3 to 1.58.1,162,open,2025-01-01 11:12:42+00:00,https://github.com/Undertone0809/gcop/pull/162,True,153,86,156,1,164,2,8,153,2762,2024-06-20 13:30:19+00:00,2025-01-04 08:42:09+00:00,False,Python,"['commit-message', 'git', 'llm', 'openai']",0.0
davidmigloz/pixels2flutter,"Bump langchain_openai, langchain_google and langchain",107,open,2025-01-01 14:34:03+00:00,https://github.com/davidmigloz/pixels2flutter/pull/107,True,189,115,95,1,107,3,40,189,18674,2023-11-17 18:14:17+00:00,2025-01-01 14:58:46+00:00,False,Dart,"['flutter', 'gpt-4-vision', 'llms', 'openai']",0.0
bitterlemonking/supastarter1,Bump openai from 4.68.4 to 4.77.0,50,open,2025-01-01 01:55:37+00:00,https://github.com/bitterlemonking/supastarter1/pull/50,True,0,2,63,1,63,1,1,0,2240,2024-11-11 21:25:43+00:00,2025-01-01 02:05:01+00:00,False,TypeScript,[],0.0
EliahKagan/findrepo2-experiment,Bump openai from 0.28.1 to 1.58.1,271,open,2025-01-01 00:16:41+00:00,https://github.com/EliahKagan/findrepo2-experiment/pull/271,True,0,149,271,1,274,2,0,0,24807,2023-02-14 23:53:41+00:00,2025-01-08 23:09:18+00:00,False,Jupyter Notebook,[],0.0
diksha-shrivastava13/bolt-ai-assistant,Bump openai from 1.54.5 to 1.58.1,6,open,2025-01-01 14:41:11+00:00,https://github.com/diksha-shrivastava13/bolt-ai-assistant/pull/6,True,0,18,6,1,6,5,0,0,46,2024-11-22 11:25:36+00:00,2025-01-01 14:41:13+00:00,False,Python,[],0.0
przeprogramowani/gpt-debugger,chore(deps): bump openai from 4.73.1 to 4.77.0,29,open,2025-01-01 01:20:13+00:00,https://github.com/przeprogramowani/gpt-debugger/pull/29,True,6,56,30,1,30,3,0,6,577,2024-03-28 06:32:13+00:00,2025-01-01 01:20:21+00:00,False,TypeScript,[],2.0
masomaster/advent-translation,[Snyk] Upgrade openai from 4.72.0 to 4.76.1,24,open,2025-01-01 07:56:35+00:00,https://github.com/masomaster/advent-translation/pull/24,True,0,121,31,1,31,2,0,0,14086,2023-11-08 06:09:53+00:00,2025-01-15 09:56:27+00:00,False,JavaScript,[],1.0
VishnuDurairaj/Data-Analyst-CoPilot,fix: undefined keyword argument `proxies` error | httpx error,2,open,2025-01-01 13:49:28+00:00,https://github.com/VishnuDurairaj/Data-Analyst-CoPilot/pull/2,True,3,7,2,1,2,1,2,3,759,2024-09-23 05:40:03+00:00,2024-10-16 07:36:13+00:00,False,Python,[],1.0
hanstanawi/telegram-gpt,chore: bump gpt-tokenizer from 2.7.0 to 2.8.1,329,closed,2025-01-01 21:33:56+00:00,https://github.com/hanstanawi/telegram-gpt/pull/329,True,3,644,323,1,341,2,0,3,2864,2023-11-28 12:19:19+00:00,2025-01-22 21:47:17+00:00,False,TypeScript,"['nodejs', 'openai', 'telegram-bot', 'typescript', 'nestjs']",0.0
Team-Deep-Impact/Deep-Impact,Bump openai from 1.50.2 to 1.58.1,68,open,2025-01-01 14:16:15+00:00,https://github.com/Team-Deep-Impact/Deep-Impact/pull/68,True,1,112,71,1,71,6,1,1,1675,2024-05-18 01:01:59+00:00,2025-01-22 06:47:47+00:00,False,JavaScript,[],0.0
TripleAConsortium/GPTWrite,Bump openai from 1.12.0 to 1.58.1,14,open,2025-01-01 00:21:24+00:00,https://github.com/TripleAConsortium/GPTWrite/pull/14,True,0,9,17,1,17,1,0,0,24,2024-02-27 23:16:04+00:00,2025-01-01 00:21:37+00:00,False,Python,"['ai', 'assistant', 'assistant-chat-bots', 'book', 'books', 'chatgpt', 'gpt-3', 'openai', 'openai-api', 'openai-chatgpt', 'python', 'python-3', 'python3']",2.0
yubincho/animarket,Develop,1,open,2025-01-01 12:24:47+00:00,https://github.com/yubincho/animarket/pull/1,True,0,7,1,1,1,1,0,0,45172,2025-01-01 08:57:47+00:00,2025-01-18 03:39:03+00:00,False,,[],1.0
BerriAI/litellm,(Feat) - LiteLLM Use `UsernamePasswordCredential` for Azure OpenAI,7496,closed,2025-01-01 19:49:35+00:00,https://github.com/BerriAI/litellm/pull/7496,True,16708,19224,3758,1,7850,359,1983,16708,297370,2023-07-27 00:09:52+00:00,2025-01-28 17:40:25+00:00,False,Python,"['anthropic', 'langchain', 'llm', 'llmops', 'openai', 'ai-gateway', 'azure-openai', 'bedrock', 'gateway', 'openai-proxy', 'vertex-ai', 'llm-gateway']",0.0
erodrigufer/maguet,Bump github.com/sashabaranov/go-openai from 1.29.1 to 1.36.1 in the dependencies group across 1 directory,6,open,2025-01-01 22:57:21+00:00,https://github.com/erodrigufer/maguet/pull/6,True,0,27,6,1,6,2,0,0,2403,2023-04-01 00:38:25+00:00,2025-01-01 22:57:24+00:00,False,Go,[],2.0
Taewan-P/gpt_mobile,Adding ```Export Chat``` functionality.,150,closed,2025-01-01 18:09:57+00:00,https://github.com/Taewan-P/gpt_mobile/pull/150,True,606,419,57,1,106,8,51,606,6910,2023-03-06 13:54:34+00:00,2025-01-28 09:02:38+00:00,False,Kotlin,"['android', 'chatgpt', 'claude', 'compose', 'gemini', 'jetpack-compose', 'chatbots', 'jetpack', 'kotlin', 'anthropic', 'google', 'openai', 'hacktoberfest', 'ollama', 'ollama-api', 'ollama-app', 'groq', 'groq-api', 'collaborate', 'deepseek']",0.0
mamezou-tech/mamezou-tech-site,[auto-review] Update GPT column by github-actions,1634,closed,2025-01-01 03:09:52+00:00,https://github.com/mamezou-tech/mamezou-tech-site/pull/1634,True,8,3735,1656,1,1681,64,1,8,377487,2021-08-01 01:45:19+00:00,2025-01-28 08:43:32+00:00,False,TypeScript,[],1.0
pavlicic1marko/AI-integrations,Project improvments,4,closed,2025-01-01 13:41:20+00:00,https://github.com/pavlicic1marko/AI-integrations/pull/4,True,0,60,12,1,12,1,0,0,62,2024-12-26 15:48:55+00:00,2025-01-16 17:07:20+00:00,False,Python,[],2.0
mastra-ai/mastra,quick fix for docs to use gpt-4o-mini,1241,closed,2025-01-01 23:38:13+00:00,https://github.com/mastra-ai/mastra/pull/1241,True,1404,6234,1589,1,1609,26,58,1404,103994,2024-08-06 20:44:31+00:00,2025-01-28 18:17:45+00:00,False,TypeScript,"['agents', 'ai', 'chatbots', 'javascript', 'llm', 'nextjs', 'nodejs', 'reactjs', 'typescript', 'workflows', 'evals', 'mcp', 'tts']",1.0
hotwellkz/dev-magic-generator,Fix error handling in code generation,3,closed,2025-01-01 19:10:01+00:00,https://github.com/hotwellkz/dev-magic-generator/pull/3,True,0,65,7,5,7,2,0,0,492,2025-01-01 16:13:54+00:00,2025-01-01 22:21:47+00:00,False,TypeScript,[],1.0
joiecruz/limitless-platform,Fix redirect loop issue,14,closed,2025-01-01 21:43:42+00:00,https://github.com/joiecruz/limitless-platform/pull/14,True,0,1259,37,6,37,2,0,0,5425,2024-12-07 04:57:41+00:00,2025-01-17 03:15:27+00:00,False,TypeScript,[],1.0
clemax2505/gaming-forge-hub,Fix image placeholders issue,37,closed,2025-01-01 17:29:12+00:00,https://github.com/clemax2505/gaming-forge-hub/pull/37,True,0,521,57,2,57,2,0,0,39031,2024-11-20 10:43:28+00:00,2025-01-22 09:35:59+00:00,False,TypeScript,[],1.0
hotwellkz/dev-magic-generator,Deploy frontend to Netlify,1,closed,2025-01-01 18:31:05+00:00,https://github.com/hotwellkz/dev-magic-generator/pull/1,True,0,65,7,5,7,2,0,0,492,2025-01-01 16:13:54+00:00,2025-01-01 22:21:47+00:00,False,TypeScript,[],1.0
hotwellkz/dev-magic-generator,Fix deployment issues on Railway and Netlify,6,closed,2025-01-01 20:06:39+00:00,https://github.com/hotwellkz/dev-magic-generator/pull/6,True,0,65,7,5,7,2,0,0,492,2025-01-01 16:13:54+00:00,2025-01-01 22:21:47+00:00,False,TypeScript,[],1.0
clemax2505/gaming-forge-hub,"Reverted to edit 7e092bf5-5fde-4fa3-b768-ed603a2a0510: ""Fix image dis…",38,closed,2025-01-01 17:38:58+00:00,https://github.com/clemax2505/gaming-forge-hub/pull/38,True,0,521,57,2,57,2,0,0,39031,2024-11-20 10:43:28+00:00,2025-01-22 09:35:59+00:00,False,TypeScript,[],1.0
hotwellkz/dev-magic-generator,Fix error handling issue,5,closed,2025-01-01 19:36:18+00:00,https://github.com/hotwellkz/dev-magic-generator/pull/5,True,0,65,7,5,7,2,0,0,492,2025-01-01 16:13:54+00:00,2025-01-01 22:21:47+00:00,False,TypeScript,[],1.0
nahuu1/melaet,Update worker name and add map,4,closed,2025-01-01 13:20:12+00:00,https://github.com/nahuu1/melaet/pull/4,True,0,75,6,2,6,2,0,0,710,2024-12-22 12:05:57+00:00,2025-01-28 12:44:51+00:00,False,TypeScript,[],1.0
nahuu1/melaet,Fix dependency resolution error,3,closed,2025-01-01 13:02:24+00:00,https://github.com/nahuu1/melaet/pull/3,True,0,75,6,2,6,2,0,0,710,2024-12-22 12:05:57+00:00,2025-01-28 12:44:51+00:00,False,TypeScript,[],1.0
joiecruz/limitless-platform,Change login and signup URLs,9,closed,2025-01-01 20:59:22+00:00,https://github.com/joiecruz/limitless-platform/pull/9,True,0,1259,37,6,37,2,0,0,5425,2024-12-07 04:57:41+00:00,2025-01-17 03:15:27+00:00,False,TypeScript,[],1.0
hotwellkz/dev-magic-generator,Update API URLs for Railway,4,closed,2025-01-01 19:18:41+00:00,https://github.com/hotwellkz/dev-magic-generator/pull/4,True,0,65,7,5,7,2,0,0,492,2025-01-01 16:13:54+00:00,2025-01-01 22:21:47+00:00,False,TypeScript,[],1.0
joiecruz/limitless-platform,"Reverted to edit 878765d5-d100-4825-81e5-9b9aea624997: ""Fix CTA links…",15,closed,2025-01-01 21:48:29+00:00,https://github.com/joiecruz/limitless-platform/pull/15,True,0,1259,37,6,37,2,0,0,5425,2024-12-07 04:57:41+00:00,2025-01-17 03:15:27+00:00,False,TypeScript,[],1.0
joiecruz/limitless-platform,Fix infinite redirect loop,13,closed,2025-01-01 21:38:17+00:00,https://github.com/joiecruz/limitless-platform/pull/13,True,0,1259,37,6,37,2,0,0,5425,2024-12-07 04:57:41+00:00,2025-01-17 03:15:27+00:00,False,TypeScript,[],1.0
joiecruz/limitless-platform,Fix import error in BlogSection.tsx,8,closed,2025-01-01 20:54:36+00:00,https://github.com/joiecruz/limitless-platform/pull/8,True,0,1259,37,6,37,2,0,0,5425,2024-12-07 04:57:41+00:00,2025-01-17 03:15:27+00:00,False,TypeScript,[],5.0
LangChain-OpenTutorial/LangChain-OpenTutorial,[E-1] 01-BASIC / 04.UsingOpenaiAPI_GPT4o,41,closed,2025-01-01 05:34:37+00:00,https://github.com/LangChain-OpenTutorial/LangChain-OpenTutorial/pull/41,True,113,1739,438,1,573,83,103,113,437364,2024-12-14 14:33:57+00:00,2025-01-26 19:48:37+00:00,False,Jupyter Notebook,"['agent', 'langchain', 'langgraph']",1.0
joiecruz/limitless-platform,"Reverted to edit 5a3f8140-b887-478e-afdd-82eca54731c0: ""Set up Netlif…",16,closed,2025-01-01 21:51:53+00:00,https://github.com/joiecruz/limitless-platform/pull/16,True,0,1259,37,6,37,2,0,0,5425,2024-12-07 04:57:41+00:00,2025-01-17 03:15:27+00:00,False,TypeScript,[],1.0
