repo_name,PR Title,PR Number,State,Created At,URL,URL status
heristop/gutenku,chore(deps): bump openai from 4.47.3 to 4.77.0,190,open,2025-01-01 11:18:56+00:00,https://github.com/heristop/gutenku/pull/190,True
peoplesj/bolt-js-assistant-template,Bump openai from 4.63.0 to 4.77.0,13,open,2025-01-01 22:27:38+00:00,https://github.com/peoplesj/bolt-js-assistant-template/pull/13,True
MJHR89/slack-bedrock-assistant,Bump openai from 4.63.0 to 4.77.0,13,open,2025-01-01 14:09:33+00:00,https://github.com/MJHR89/slack-bedrock-assistant/pull/13,True
derogab/voicemail,chore(deps): bump openai from 4.73.1 to 4.77.0,26,open,2025-01-01 15:11:35+00:00,https://github.com/derogab/voicemail/pull/26,True
Alec2435/mcp-bot,Bump openai from 4.74.0 to 4.77.0,5,open,2025-01-01 21:56:25+00:00,https://github.com/Alec2435/mcp-bot/pull/5,True
jonaypelluz/craftAPIxplorer,build(deps): bump openai from 4.28.4 to 4.77.0,127,open,2025-01-01 18:41:21+00:00,https://github.com/jonaypelluz/craftAPIxplorer/pull/127,True
Undertone0809/gcop,:arrow_up: Bump openai from 1.54.3 to 1.58.1,162,open,2025-01-01 11:12:42+00:00,https://github.com/Undertone0809/gcop/pull/162,True
davidmigloz/pixels2flutter,"Bump langchain_openai, langchain_google and langchain",107,open,2025-01-01 14:34:03+00:00,https://github.com/davidmigloz/pixels2flutter/pull/107,True
bitterlemonking/supastarter1,Bump openai from 4.68.4 to 4.77.0,50,open,2025-01-01 01:55:37+00:00,https://github.com/bitterlemonking/supastarter1/pull/50,True
EliahKagan/findrepo2-experiment,Bump openai from 0.28.1 to 1.58.1,271,open,2025-01-01 00:16:41+00:00,https://github.com/EliahKagan/findrepo2-experiment/pull/271,True
diksha-shrivastava13/bolt-ai-assistant,Bump openai from 1.54.5 to 1.58.1,6,open,2025-01-01 14:41:11+00:00,https://github.com/diksha-shrivastava13/bolt-ai-assistant/pull/6,True
przeprogramowani/gpt-debugger,chore(deps): bump openai from 4.73.1 to 4.77.0,29,open,2025-01-01 01:20:13+00:00,https://github.com/przeprogramowani/gpt-debugger/pull/29,True
masomaster/advent-translation,[Snyk] Upgrade openai from 4.72.0 to 4.76.1,24,open,2025-01-01 07:56:35+00:00,https://github.com/masomaster/advent-translation/pull/24,True
VishnuDurairaj/Data-Analyst-CoPilot,fix: undefined keyword argument `proxies` error | httpx error,2,open,2025-01-01 13:49:28+00:00,https://github.com/VishnuDurairaj/Data-Analyst-CoPilot/pull/2,True
hanstanawi/telegram-gpt,chore: bump gpt-tokenizer from 2.7.0 to 2.8.1,329,closed,2025-01-01 21:33:56+00:00,https://github.com/hanstanawi/telegram-gpt/pull/329,True
Team-Deep-Impact/Deep-Impact,Bump openai from 1.50.2 to 1.58.1,68,open,2025-01-01 14:16:15+00:00,https://github.com/Team-Deep-Impact/Deep-Impact/pull/68,True
TripleAConsortium/GPTWrite,Bump openai from 1.12.0 to 1.58.1,14,open,2025-01-01 00:21:24+00:00,https://github.com/TripleAConsortium/GPTWrite/pull/14,True
yubincho/animarket,Develop,1,open,2025-01-01 12:24:47+00:00,https://github.com/yubincho/animarket/pull/1,True
BerriAI/litellm,(Feat) - LiteLLM Use `UsernamePasswordCredential` for Azure OpenAI,7496,closed,2025-01-01 19:49:35+00:00,https://github.com/BerriAI/litellm/pull/7496,True
erodrigufer/maguet,Bump github.com/sashabaranov/go-openai from 1.29.1 to 1.36.1 in the dependencies group across 1 directory,6,open,2025-01-01 22:57:21+00:00,https://github.com/erodrigufer/maguet/pull/6,True
Taewan-P/gpt_mobile,Adding ```Export Chat``` functionality.,150,closed,2025-01-01 18:09:57+00:00,https://github.com/Taewan-P/gpt_mobile/pull/150,True
mamezou-tech/mamezou-tech-site,[auto-review] Update GPT column by github-actions,1634,closed,2025-01-01 03:09:52+00:00,https://github.com/mamezou-tech/mamezou-tech-site/pull/1634,True
pavlicic1marko/AI-integrations,Project improvments,4,closed,2025-01-01 13:41:20+00:00,https://github.com/pavlicic1marko/AI-integrations/pull/4,True
mastra-ai/mastra,quick fix for docs to use gpt-4o-mini,1241,closed,2025-01-01 23:38:13+00:00,https://github.com/mastra-ai/mastra/pull/1241,True
hotwellkz/dev-magic-generator,Fix error handling in code generation,3,closed,2025-01-01 19:10:01+00:00,https://github.com/hotwellkz/dev-magic-generator/pull/3,True
joiecruz/limitless-platform,Fix redirect loop issue,14,closed,2025-01-01 21:43:42+00:00,https://github.com/joiecruz/limitless-platform/pull/14,True
clemax2505/gaming-forge-hub,Fix image placeholders issue,37,closed,2025-01-01 17:29:12+00:00,https://github.com/clemax2505/gaming-forge-hub/pull/37,True
hotwellkz/dev-magic-generator,Deploy frontend to Netlify,1,closed,2025-01-01 18:31:05+00:00,https://github.com/hotwellkz/dev-magic-generator/pull/1,True
hotwellkz/dev-magic-generator,Fix deployment issues on Railway and Netlify,6,closed,2025-01-01 20:06:39+00:00,https://github.com/hotwellkz/dev-magic-generator/pull/6,True
clemax2505/gaming-forge-hub,"Reverted to edit 7e092bf5-5fde-4fa3-b768-ed603a2a0510: ""Fix image dis…",38,closed,2025-01-01 17:38:58+00:00,https://github.com/clemax2505/gaming-forge-hub/pull/38,True
hotwellkz/dev-magic-generator,Fix error handling issue,5,closed,2025-01-01 19:36:18+00:00,https://github.com/hotwellkz/dev-magic-generator/pull/5,True
nahuu1/melaet,Update worker name and add map,4,closed,2025-01-01 13:20:12+00:00,https://github.com/nahuu1/melaet/pull/4,True
nahuu1/melaet,Fix dependency resolution error,3,closed,2025-01-01 13:02:24+00:00,https://github.com/nahuu1/melaet/pull/3,True
joiecruz/limitless-platform,Change login and signup URLs,9,closed,2025-01-01 20:59:22+00:00,https://github.com/joiecruz/limitless-platform/pull/9,True
hotwellkz/dev-magic-generator,Update API URLs for Railway,4,closed,2025-01-01 19:18:41+00:00,https://github.com/hotwellkz/dev-magic-generator/pull/4,True
joiecruz/limitless-platform,"Reverted to edit 878765d5-d100-4825-81e5-9b9aea624997: ""Fix CTA links…",15,closed,2025-01-01 21:48:29+00:00,https://github.com/joiecruz/limitless-platform/pull/15,True
joiecruz/limitless-platform,Fix infinite redirect loop,13,closed,2025-01-01 21:38:17+00:00,https://github.com/joiecruz/limitless-platform/pull/13,True
joiecruz/limitless-platform,Fix import error in BlogSection.tsx,8,closed,2025-01-01 20:54:36+00:00,https://github.com/joiecruz/limitless-platform/pull/8,True
LangChain-OpenTutorial/LangChain-OpenTutorial,[E-1] 01-BASIC / 04.UsingOpenaiAPI_GPT4o,41,closed,2025-01-01 05:34:37+00:00,https://github.com/LangChain-OpenTutorial/LangChain-OpenTutorial/pull/41,True
joiecruz/limitless-platform,"Reverted to edit 5a3f8140-b887-478e-afdd-82eca54731c0: ""Set up Netlif…",16,closed,2025-01-01 21:51:53+00:00,https://github.com/joiecruz/limitless-platform/pull/16,True
BoundaryML/baml,Include type aliases in Jinja,1286,closed,2025-01-01 17:54:26+00:00,https://github.com/BoundaryML/baml/pull/1286,True
run-llama/llama_index,Add support for gpt-4o-2024-08-06 to multi modal llms,17405,closed,2025-01-01 15:31:32+00:00,https://github.com/run-llama/llama_index/pull/17405,True
gusye1234/llm-as-function,"Added ollama support, added better type system and docs",5,closed,2025-01-01 19:13:30+00:00,https://github.com/gusye1234/llm-as-function/pull/5,True
brave/pull-merge,fix(deps): update dependency tiktoken to v1.0.18,227,closed,2025-01-01 01:09:16+00:00,https://github.com/brave/pull-merge/pull/227,True
brave/pull-merge,fix(deps): update dependency openai to v4.77.0,228,closed,2025-01-01 01:09:23+00:00,https://github.com/brave/pull-merge/pull/228,True
n3d1117/chatgpt-telegram-bot,Implement TogetherAI and Flux Image Generation,657,closed,2025-01-01 00:22:59+00:00,https://github.com/n3d1117/chatgpt-telegram-bot/pull/657,True
tylerism/recipe-generator,Bump the node-dependencies group with 5 updates,1,open,2025-01-01 00:13:27+00:00,https://github.com/tylerism/recipe-generator/pull/1,True
blorm-network/ZerePy,Echochambers_Adapter_v1,47,closed,2025-01-01 23:31:10+00:00,https://github.com/blorm-network/ZerePy/pull/47,True
mendersoftware/meta-mender,chore: bump python from 3.13.0-alpine3.20 to 3.13.1-alpine3.20 in /meta-mender-qemu/docker/qemux86-64,2234,closed,2025-01-01 17:32:44+00:00,https://github.com/mendersoftware/meta-mender/pull/2234,True
mendersoftware/mender,chore: bump src/common/vendor/yaml-cpp from `9ce5a25` to `73ef006`,1721,closed,2025-01-01 12:05:31+00:00,https://github.com/mendersoftware/mender/pull/1721,True
0xPlaygrounds/rig,chore: release,180,closed,2025-01-01 22:42:11+00:00,https://github.com/0xPlaygrounds/rig/pull/180,True
SuperDataScience-Community-Projects/SDS-CP017-ai-recipe-wizard,Initial Commit : AI Recipe Wizard Streamlit app with Text gen and Ima…,3,closed,2025-01-01 14:54:19+00:00,https://github.com/SuperDataScience-Community-Projects/SDS-CP017-ai-recipe-wizard/pull/3,True
NixOS/nixpkgs,python312Packages.*: unpin Boost,370066,closed,2025-01-01 23:05:29+00:00,https://github.com/NixOS/nixpkgs/pull/370066,True
descope-sample-apps/docs-gpt,Update dependency eslint-config-next to v15.1.0,32,closed,2025-01-01 01:45:39+00:00,https://github.com/descope-sample-apps/docs-gpt/pull/32,True
zy111x/ChatGPT_prompts,[pull] main from rockbenben:main,4,closed,2025-01-01 23:18:01+00:00,https://github.com/zy111x/ChatGPT_prompts/pull/4,True
gitbai-ster/ChatGPT-Shortcut,[pull] main from rockbenben:main,44,closed,2025-01-01 20:50:05+00:00,https://github.com/gitbai-ster/ChatGPT-Shortcut/pull/44,True
Roopan-Microsoft/psl-cwyd-main,build: bump openai from 1.48.0 to 1.58.1,113,closed,2025-01-01 05:29:22+00:00,https://github.com/Roopan-Microsoft/psl-cwyd-main/pull/113,True
gs1068/slack-gpt-bot,Update module github.com/sashabaranov/go-openai to v1.36.1,3,closed,2025-01-01 11:00:38+00:00,https://github.com/gs1068/slack-gpt-bot/pull/3,True
slack-samples/bolt-python-ai-chatbot,Bump openai from 1.56.0 to 1.58.1,37,closed,2025-01-01 06:08:21+00:00,https://github.com/slack-samples/bolt-python-ai-chatbot/pull/37,True
NixOS/nixpkgs,xnee: fix build,369812,closed,2025-01-01 00:09:55+00:00,https://github.com/NixOS/nixpkgs/pull/369812,True
slack-samples/bolt-js-assistant-template,build(deps): bump openai from 4.74.0 to 4.77.0,21,closed,2025-01-01 12:25:16+00:00,https://github.com/slack-samples/bolt-js-assistant-template/pull/21,True
dlt-hub/dlt,"Updated credentials docs ""Added section Destination configuration via Python""",2182,closed,2025-01-01 08:50:48+00:00,https://github.com/dlt-hub/dlt/pull/2182,True
JuliettKhar/reviewer-lib,Bump openai from 4.69.0 to 4.77.0,23,closed,2025-01-01 15:44:42+00:00,https://github.com/JuliettKhar/reviewer-lib/pull/23,True
iyaki/content-curator,Bump openai from 4.73.1 to 4.77.0 in /curator,35,closed,2025-01-01 17:28:45+00:00,https://github.com/iyaki/content-curator/pull/35,True
iloveitaly/gmail-digest,build(deps): bump openai from 1.55.3 to 1.58.1,18,closed,2025-01-01 13:46:52+00:00,https://github.com/iloveitaly/gmail-digest/pull/18,True
EngineeringKiosk/PodcastPipelines,Bump openai from 4.67.1 to 4.77.0 in /ai,26,closed,2025-01-01 14:50:20+00:00,https://github.com/EngineeringKiosk/PodcastPipelines/pull/26,True
freelawproject/courtlistener,build(deps): bump openai from 1.52.0 to 1.58.1,4876,closed,2025-01-01 08:03:27+00:00,https://github.com/freelawproject/courtlistener/pull/4876,True
FullStackWithLawrence/openai-hello-world,chore(deps): bump openai from 1.55.3 to 1.58.1,91,closed,2025-01-01 17:50:52+00:00,https://github.com/FullStackWithLawrence/openai-hello-world/pull/91,True
NixOS/nixpkgs,newlib: 4.4.0.20231231 -> 4.5.0.20241231,369994,closed,2025-01-01 16:10:38+00:00,https://github.com/NixOS/nixpkgs/pull/369994,True
milliorn/chatgpt-cli,Bump openai from 4.73.1 to 4.77.0 in /nodejs,39,closed,2025-01-01 21:53:43+00:00,https://github.com/milliorn/chatgpt-cli/pull/39,True
ecigar13/azure-container-networking,deps: bump github.com/gorilla/mux from 1.8.0 to 1.8.1,257,open,2025-01-01 12:15:00+00:00,https://github.com/ecigar13/azure-container-networking/pull/257,True
NixOS/nixpkgs,vrc-get: 1.8.2 -> 1.9.0,369976,closed,2025-01-01 15:14:29+00:00,https://github.com/NixOS/nixpkgs/pull/369976,True
FullStackWithLawrence/aws-openai,chore(deps): bump openai from 1.55.3 to 1.58.1 in /api/terraform/python/layer_openai,544,closed,2025-01-01 03:17:01+00:00,https://github.com/FullStackWithLawrence/aws-openai/pull/544,True
childmindresearch/AIMLESS,Bump the production-dependencies group across 1 directory with 5 updates,5,open,2025-01-01 07:52:17+00:00,https://github.com/childmindresearch/AIMLESS/pull/5,True
NixOS/nixpkgs,python312Packages.google-api-python-client: 2.147.0 -> 2.158.0,369922,closed,2025-01-01 10:55:33+00:00,https://github.com/NixOS/nixpkgs/pull/369922,True
NixOS/nixpkgs,amdvlk: 2024.Q4.2 -> 2024.Q4.3,369975,closed,2025-01-01 15:13:08+00:00,https://github.com/NixOS/nixpkgs/pull/369975,True
midday-ai/languine,Add Fumadocs example,48,closed,2025-01-01 10:21:08+00:00,https://github.com/midday-ai/languine/pull/48,True
NatoBoram/lame,⬆️ Bump github.com/sashabaranov/go-openai from 1.35.6 to 1.36.1 in the minor-production group across 1 directory,29,closed,2025-01-01 09:10:15+00:00,https://github.com/NatoBoram/lame/pull/29,True
coderabbitai/openai-chat-tokens,⬆️ Bump the openai group across 1 directory with 2 updates,71,closed,2025-01-01 12:49:33+00:00,https://github.com/coderabbitai/openai-chat-tokens/pull/71,True
NixOS/nixpkgs,utf8proc: 2.9.0 -> 2.10.0,369872,closed,2025-01-01 06:25:22+00:00,https://github.com/NixOS/nixpkgs/pull/369872,True
ammar-knowledge/ant-design,[pull] master from ant-design:master,804,closed,2025-01-01 14:58:05+00:00,https://github.com/ammar-knowledge/ant-design/pull/804,True
stefanb/rye,Bump github.com/sashabaranov/go-openai from 1.32.5 to 1.36.1,185,closed,2025-01-01 09:44:55+00:00,https://github.com/stefanb/rye/pull/185,True
ammar-knowledge/semantic-prs,[pull] master from Ezard:master,93,closed,2025-01-01 09:34:04+00:00,https://github.com/ammar-knowledge/semantic-prs/pull/93,True
ammar-knowledge/ant-design,[pull] master from ant-design:master,805,closed,2025-01-01 20:58:04+00:00,https://github.com/ammar-knowledge/ant-design/pull/805,True
ammar-knowledge/ant-design,[pull] master from ant-design:master,803,closed,2025-01-01 08:58:05+00:00,https://github.com/ammar-knowledge/ant-design/pull/803,True
ammar-knowledge/ant-design,[pull] master from ant-design:master,802,closed,2025-01-01 02:58:04+00:00,https://github.com/ammar-knowledge/ant-design/pull/802,True
SillyTavern/SillyTavern,zh-CN translation staging,3247,closed,2025-01-01 14:05:46+00:00,https://github.com/SillyTavern/SillyTavern/pull/3247,True
hangyav/textLSP,build(deps): bump the python-packages group with 4 updates,46,closed,2025-01-01 17:38:31+00:00,https://github.com/hangyav/textLSP/pull/46,True
GPTTF-pyeoDa/pyeoDa-BACK,글감 추천 기능 구현,7,closed,2025-01-01 07:07:47+00:00,https://github.com/GPTTF-pyeoDa/pyeoDa-BACK/pull/7,True
khulnasoft/pr-insight,improve: prompots for enhance,95,open,2025-01-01 20:19:22+00:00,https://github.com/khulnasoft/pr-insight/pull/95,True
GuilhermeStracini/hello-world-nextjs,[Snyk] Upgrade react-dom from 18.3.1 to 19.0.0,488,closed,2025-01-01 07:58:58+00:00,https://github.com/GuilhermeStracini/hello-world-nextjs/pull/488,True
GuilhermeStracini/hello-world-nextjs,[Snyk] Upgrade react from 18.3.1 to 19.0.0,487,closed,2025-01-01 07:58:53+00:00,https://github.com/GuilhermeStracini/hello-world-nextjs/pull/487,True
PolicyEngine/policyengine-app,chore(deps): bump the sub-major group with 16 updates,2283,closed,2025-01-01 10:27:46+00:00,https://github.com/PolicyEngine/policyengine-app/pull/2283,True
mdn/yari,chore(deps): bump @mdn/rari from 0.1.12 to 0.1.13,12384,closed,2025-01-01 16:13:43+00:00,https://github.com/mdn/yari/pull/12384,True
mdn/yari,chore(deps-dev): bump @types/node from 18.19.68 to 18.19.69 in the types group,12383,closed,2025-01-01 11:31:11+00:00,https://github.com/mdn/yari/pull/12383,True
DIYgod/RSSHub,feat(route): fix images not displaying in msn news full text,18017,closed,2025-01-01 06:40:19+00:00,https://github.com/DIYgod/RSSHub/pull/18017,True
