project,pull_number,actor,project_age_month,no_commits,PR_size(SLOC),no_changed_files,time_to_merge_h,is_gpt
Codium-ai_pr-agent,804,mrt23,8,1,2,1,0.113,1
Codium-ai_pr-agent,800,mrt23,8,3,25,4,82.086,1
Codium-ai_pr-agent,793,almog-lv,8,1,230,3,0.264,1
Codium-ai_pr-agent,786,mrt23,8,2,5,2,3.441,1
Codium-ai_pr-agent,776,mrt23,8,1,49,1,6.853,1
Codium-ai_pr-agent,769,hussam789,8,1,2,1,0.02,1
Codium-ai_pr-agent,764,mrt23,8,3,36,5,15.35,1
Codium-ai_pr-agent,723,mrt23,7,4,36,6,0.101,1
Codium-ai_pr-agent,762,mrt23,8,1,18,1,0.091,1
Codium-ai_pr-agent,757,mrt23,8,14,100955,361,23.404,1
Codium-ai_pr-agent,756,mrt23,8,6,117,16,189.756,1
Codium-ai_pr-agent,751,mrt23,8,1,6,1,74.281,1
Codium-ai_pr-agent,748,okotek,8,1,127,4,12.309,1
Codium-ai_pr-agent,747,okotek,8,1,40,2,0.285,1
Codium-ai_pr-agent,746,mrt23,8,3,121,7,2.804,1
Codium-ai_pr-agent,745,mrt23,8,1,70,3,3.254,1
Codium-ai_pr-agent,744,mrt23,7,4,69,11,2.713,1
Codium-ai_pr-agent,736,okotek,7,1,5,1,2.591,1
Codium-ai_pr-agent,620,mrt23,6,4,49,11,0.307,1
Codium-ai_pr-agent,729,mrt23,7,3,190,5,46.913,1
Codium-ai_pr-agent,727,mrt23,7,1,6,1,0.014,1
Codium-ai_pr-agent,759,mrt23,8,1,6,1,0.043,1
Codium-ai_pr-agent,618,hussam789,6,2,26,3,16.095,1
Codium-ai_pr-agent,607,mrt23,6,1,53,3,0.083,1
Codium-ai_pr-agent,614,mrt23,6,3,82,4,0.21,1
Codium-ai_pr-agent,665,mrt23,7,1,129,4,35.572,1
Codium-ai_pr-agent,666,mrt23,7,1,51,4,62.758,1
Codium-ai_pr-agent,667,mrt23,7,20,513,30,12.348,1
Codium-ai_pr-agent,673,mrt23,7,5,168,6,1.209,1
Codium-ai_pr-agent,674,mrt23,7,1,51,3,0.074,1
Codium-ai_pr-agent,675,mrt23,7,1,6,1,0.046,1
Codium-ai_pr-agent,677,mrt23,7,2,114,4,0.216,1
Codium-ai_pr-agent,678,mrt23,7,2,34,4,0.064,1
Codium-ai_pr-agent,679,mrt23,7,1,33,6,0.081,1
Codium-ai_pr-agent,682,mrt23,7,2,6,2,1.551,1
Codium-ai_pr-agent,683,mrt23,7,7,164,12,1.831,1
Codium-ai_pr-agent,684,mrt23,7,3,72,5,0.229,1
Codium-ai_pr-agent,687,mrt23,7,1,68,1,0.061,1
Codium-ai_pr-agent,694,okotek,7,1,9,2,0.211,1
Codium-ai_pr-agent,695,okotek,7,3,36,4,69.917,1
Codium-ai_pr-agent,696,mrt23,7,4,335,7,1.894,1
Codium-ai_pr-agent,817,mrt23,8,1,13,1,0.139,1
Codium-ai_pr-agent,701,mrt23,7,3,42,3,2.779,1
Codium-ai_pr-agent,707,mrt23,7,2,10,2,4.57,1
Codium-ai_pr-agent,661,mrt23,7,9,366,27,62.932,1
Codium-ai_pr-agent,656,mrt23,7,16,350,24,151.934,1
Codium-ai_pr-agent,655,mrt23,7,2,4,2,0.853,1
Codium-ai_AlphaCodium,10,mrt23,0,1,8,1,20.476,1
Codium-ai_pr-agent,613,hussam789,6,2,80,4,4.112,1
Codium-ai_pr-agent,612,mrt23,6,1,4,1,102.954,1
Codium-ai_pr-agent,605,mrt23,6,1,4,1,0.094,1
Codium-ai_pr-agent,601,mrt23,6,3,20,6,0.138,1
Codium-ai_pr-agent,600,hussam789,6,2,31,4,0.204,1
Codium-ai_pr-agent,598,mrt23,6,7,156,9,3.335,1
Codium-ai_pr-agent,594,mrt23,6,11,327,13,140.085,1
Codium-ai_pr-agent,587,mrt23,6,5,98,8,11.112,1
Codium-ai_pr-agent,481,mrt23,4,1,9,2,20.975,1
Codium-ai_pr-agent,686,mrt23,7,2,7,3,0.035,1
Codium-ai_pr-agent,338,mrt23,2,1,3,1,9.569,1
Codium-ai_pr-agent,139,mrt23,0,16,466,29,23.714,1
Codium-ai_pr-agent,616,okotek,6,1,2,1,0.177,1
Codium-ai_AlphaCodium,8,mrt23,0,1,4,1,0.341,1
Codium-ai_AlphaCodium,41,mrt23,1,1,49,1,6.163,1
Codium-ai_AlphaCodium,40,mrt23,1,13,935,24,39.082,1
Codium-ai_AlphaCodium,32,mrt23,0,3,477,5,4.677,1
Codium-ai_AlphaCodium,31,mrt23,0,1,2,1,0.798,1
Codium-ai_AlphaCodium,29,mrt23,0,2,4,2,61.338,1
Codium-ai_AlphaCodium,28,mrt23,0,1,10,1,2.377,1
Codium-ai_AlphaCodium,25,mrt23,0,2,38,26,515.679,1
Codium-ai_AlphaCodium,19,mrt23,0,2,11,2,2.099,1
Codium-ai_AlphaCodium,18,mrt23,0,1,31,1,13.96,1
Codium-ai_AlphaCodium,16,mrt23,0,4,112,5,0.187,1
Codium-ai_AlphaCodium,15,mrt23,0,2,28,2,0.049,1
Codium-ai_AlphaCodium,7,mrt23,0,2,13,2,0.048,1
Codium-ai_pr-agent,654,mrt23,7,1,2,1,1.696,1
Codium-ai_pr-agent,653,mrt23,7,5,61,9,5.24,1
CyberAgentGameEntertainment_AirSticker,10,cytakayukikiyohara,2,26,1522,52,288.359,0
DAGWorks-Inc_burr,50,elijahbenizzy,1,23,6026,132,123.956,0
DGtal-team_DGtal,1416,dcoeurjo,96,9,2296,22,3317.505,0
DIYgod_RSSHub,14162,tonyrl,68,2,113,2,2.389,0
DIYgod_RSSHub,14224,tonyrl,69,3,98,8,5.046,0
DIYgod_RSSHub,14272,tonyrl,69,3,751,19,87.279,0
DIYgod_RSSHub,14424,tonyrl,70,4,73,9,32.663,0
DIYgod_RSSHub,14635,tonyrl,71,1,6,3,1.42,0
DIYgod_RSSHub,14651,tonyrl,71,10,221,13,10.153,0
DIYgod_RSSHub,14818,tonyrl,71,3,102,7,54.748,0
DIYgod_RSSHub,14884,tonyrl,71,2,19,3,35.445,0
DIYgod_RSSHub,12168,tonyrl,59,2,207,10,24.742,0
DIYgod_RSSHub,14063,tonyrl,68,1,195,6,8.469,0
DIYgod_RSSHub,15097,tonyrl,72,1,22,1,4.325,0
DIYgod_RSSHub,15170,tonyrl,72,2,26,2,2.1,0
DIYgod_RSSHub,15189,tonyrl,72,1,4,1,0.357,0
DIYgod_RSSHub,15209,tonyrl,72,1,8,2,0.314,0
DIYgod_RSSHub,12113,tonyrl,59,6,297,15,13.587,0
DIYgod_RSSHub,14929,tonyrl,71,1,5,1,11.515,0
DIYgod_RSSHub,14013,tonyrl,68,2,225,8,2.842,0
DIYgod_RSSHub,14713,tonyrl,71,2,23,3,9.928,0
DIYgod_RSSHub,13874,tonyrl,67,4,255,15,26.072,0
DIYgod_RSSHub,11798,tonyrl,58,2,164,6,0.666,0
DIYgod_RSSHub,11713,tonyrl,57,6,56539,10,196.414,0
DIYgod_RSSHub,11276,tonyrl,55,9,68,12,18.301,0
DIYgod_RSSHub,10242,tonyrl,51,3,136,10,56.403,0
DIYgod_RSSHub,12249,tonyrl,60,3,671,20,5.383,0
DIYgod_RSSHub,12346,tonyrl,60,1,49,1,57.394,0
DIYgod_RSSHub,13908,tonyrl,67,2,62,5,53.978,0
DIYgod_RSSHub,12434,tonyrl,61,3,401,19,0.301,0
DIYgod_RSSHub,12361,tonyrl,60,1,5,2,7.341,0
DIYgod_RSSHub,11967,tonyrl,58,7,165,18,3.174,0
DIYgod_RSSHub,12798,tonyrl,63,1,2,1,0.89,0
DIYgod_RSSHub,13083,tonyrl,64,7,424,20,201.369,0
DIYgod_RSSHub,13109,tonyrl,64,4,163,14,44.778,0
DIYgod_RSSHub,13354,tonyrl,65,1,429,11,0.318,0
DIYgod_RSSHub,13522,tonyrl,66,5,2396,6,46.928,0
DIYgod_RSSHub,13614,tonyrl,66,1,3,1,7.987,0
DIYgod_RSSHub,12681,tonyrl,62,3,228,10,32.092,0
Data-Provenance-Initiative_Data-Provenance-Collection,33,shayne-longpre,4,8,4697,13,1332.85,1
Data-Provenance-Initiative_Data-Provenance-Collection,26,shayne-longpre,3,5,216,12,1800.157,1
Dataherald_dataherald,90,mohammadrezapourreza,1,2,25,6,0.707,0
Dataherald_dataherald,252,mohammadrezapourreza,4,1,39,6,0.294,0
Dataherald_dataherald,247,mohammadrezapourreza,4,3,23,4,0.733,0
DenverCoder1_github-readme-streak-stats,479,denvercoder1,29,3,16,3,49.129,1
DragonOS-Community_DragonOS,673,fslongjin,26,6,95,6,88.46,0
DragonOS-Community_DragonOS,601,fslongjin,25,1,604,35,2.388,1
DragonOS-Community_DragonOS,595,chiichen,25,1,112,9,0.578,1
DragonOS-Community_DragonOS,594,gnociyeh,25,5,923,37,0.326,1
DragonOS-Community_DragonOS,593,fslongjin,25,1,2,1,0.718,1
DragonOS-Community_DragonOS,589,fslongjin,25,1,241,34,0.816,1
DragonOS-Community_DragonOS,493,fslongjin,24,3,29,4,191.577,0
DragonOS-Community_DragonOS,578,fslongjin,25,9,657,40,171.206,1
DragonOS-Community_DragonOS,576,fslongjin,25,15,1559,45,304.55,1
DragonOS-Community_DragonOS,592,gnociyeh,25,2,152,12,0.149,1
DragonOS-Community_DragonOS,602,jomocool,25,2,249,17,0.851,1
DragonOS-Community_DragonOS,600,fslongjin,25,1,2326,4,1.489,1
DragonOS-Community_DragonOS,603,gnociyeh,25,2,77,8,1.011,1
DragonOS-Community_DragonOS,622,fslongjin,26,6,318,32,3.028,1
DragonOS-Community_DragonOS,618,fslongjin,26,2,594,11,18.99,1
DragonOS-Community_DragonOS,617,jomocool,26,4,301,23,2.129,1
DragonOS-Community_DragonOS,615,fslongjin,26,3,637,12,67.37,1
DragonOS-Community_DragonOS,621,fslongjin,26,1,194,20,3.593,1
DragonOS-Community_DragonOS,613,jomocool,26,1,183,18,0.242,1
DragonOS-Community_DragonOS,611,fslongjin,26,4,267,7,145.274,1
DragonOS-Community_DragonOS,610,gnociyeh,26,1,121,8,3.288,1
DragonOS-Community_DragonOS,609,gnociyeh,26,3,217,8,16.712,1
DragonOS-Community_DragonOS,607,fslongjin,26,2,120,14,0.739,1
DragonOS-Community_DragonOS,614,fslongjin,26,3,205,12,69.84,1
Drakkar-Software_OctoBot,2300,guillaumedsm,61,2,5,2,0.214,0
EDDI-RobotAcademy_KHGPM-Frontend,129,silenc3502,0,11,2352,57,27.001,0
Ebazhanov_linkedin-skill-assessments-quizzes,6571,ebazhanov,51,4,64,4,20.121,1
Econify_ad.js,72,matthewcmoya,14,3,256,11,1.729,0
Econify_ad.js,122,matthewcmoya,27,3,56,7,94.854,0
EleutherAI_elk,140,norabelrose,1,39,3064,98,34.981,1
EleutherAI_lm-evaluation-harness,1171,haileyschoelkopf,39,3,68,33,6.106,1
EleutherAI_lm-evaluation-harness,612,lintangsutawika,33,42,415381,110,950.601,0
EleutherAI_lm-evaluation-harness,902,haileyschoelkopf,37,2,4,2,0.751,0
Evil0ctal_Douyin_TikTok_Download_API,275,evil0ctal,22,1,127,1,67.917,0
Expensify_App,30907,jasperhuangg,38,21,480,22,760.842,1
ExploreASL_ExploreASL,1475,jan-petr,43,64,9930,118,3121.251,0
ExtensityAI_symbolicai,14,xpitfire,6,4,1418,23,42.454,0
EyuCoder_chatgpt-pro,22,eyucoder,2,1,4,1,1.154,1
FRONTENDSCHOOL5_final-15-Tripillow,291,bringvotrevin,2,6,631,9,1.782,0
FinOps-Open-Cost-and-Usage-Spec_FOCUS_Spec,179,ijurica,7,31,333,37,1239.287,1
FlagOpen_FlagPerf,239,shh2000,11,12,10713,200,501.379,0
FlowFuse_node-red-function-gpt,20,joepavitt,0,3,672,7,59.951,1
FuchsiaOS_FuchsiaOS-docs-zh_CN,54,dongchany,30,6,220,6,35.151,0
GaloyMoney_blink-mobile,2905,nicolasburtey,34,2,799,12,3110.638,1
GameSphere-MultiPlayer_GameSphere,665,durgesh4993,1,6,29,8,7.729,0
GeneralTask_task-manager,2904,johnhamilto,27,6,108,9,23.049,0
GhostPangPang_GhostPong,249,kimhan-nah,1,5,548,11,5.961,0
GhostPangPang_GhostPong,217,jis-kim,1,6,138,13,6.301,0
GhostPangPang_GhostPong,196,kimhan-nah,1,7,366,48,19.677,0
GoogleChrome_lighthouse,14353,devtools-bot,77,2,10,7,2109.517,0
GoogleCloudPlatform_compute-image-import,30,savijatv,2,3,56,3,49.92,0
GreptimeTeam_docs,506,nicecui,9,3,30,3,238.253,1
HIllya51_LunaTranslator,433,hillya51,13,1,74,7,11.31,0
HomebrewNLP_HomebrewNLP,9,clashluke,13,11,164,16,1.583,0
HqWu-HITCS_Awesome-Chinese-LLM,13,hqwu-hitcs,0,3,45,3,0.886,0
HumanCompatibleAI_tensor-trust,64,qxcv,0,7,236,19,145.284,1
HumanCompatibleAI_tensor-trust,204,qxcv,1,4,124,9,14.508,1
IDEA-CCNL_Fengshenbang-LM,4,ganzhiruyi,0,8,45,8,0.098,0
IINemo_lm-polygraph,102,artemvazh,6,2,48,6,22.298,0
INCATools_ontology-access-kit,705,cmungall,23,6,4648,33,10.066,0
Ikaros-521_AI-Vtuber,1,ikaros-521,2,2,208,11,22.307,0
Indipage_SERVER,4,sunseo18,0,11,223,17,163.809,0
IntelligenzaArtificiale_Free-Auto-GPT,84,intelligenzaartificiale,0,1,57,1,18.211,0
JMRI_JMRI,8467,bobjacobsen,55,14,616,68,552.147,0
JanusGraph_janusgraph,3879,porunov,78,1,1998,30,725.716,1
Jermolene_TiddlyWiki5,7874,jermolene,144,2,44,4,1915.252,1
JetBrains-Research_TestSpark,27,pderakhshanfar,6,0,0,0,10.772,1
JinyuanSun_ChatMol,6,jiaboli007,0,1,104,3,7.043,1
JohnSnowLabs_langtest,650,arshaannazir,8,24,10404,31,704.618,0
JohnSnowLabs_langtest,738,arshaannazir,9,20,10058,31,12.605,0
JohnSnowLabs_spark-nlp,6559,maziyarpanahi,50,1,88,1,9.832,0
Joystream_atlas,5910,wradoslaw,38,4,65,4,26.364,1
Juniper_healthbot-rules,55,gaddevijay,5,4,1247,27,949.326,0
Juniper_py-junos-eznc,883,vnitinv,59,2,54,3,166.058,0
Kanaries_graphic-walker,310,observedobserver,15,2,18,2,0.086,1
Kanaries_graphic-walker,355,observedobserver,18,1,5,1,21.906,1
Kanaries_graphic-walker,316,islxyqwe,16,1,274,1,0.394,1
Kanaries_graphic-walker,273,observedobserver,14,1,27,1,0.246,1
Kanaries_graphic-walker,270,observedobserver,14,3,52,3,263.972,1
Kanaries_graphic-walker,269,observedobserver,14,2,41,3,0.487,1
Kanaries_graphic-walker,267,observedobserver,14,1,39,2,140.09,1
Kanaries_graphic-walker,264,observedobserver,14,1,14,1,1.702,1
Kanaries_graphic-walker,262,observedobserver,14,3,1133,11,14.873,1
Kanaries_graphic-walker,261,observedobserver,14,2,1030,39,54.604,1
Kanaries_graphic-walker,255,observedobserver,14,2,92,11,22.895,1
Kanaries_graphic-walker,254,observedobserver,14,1,88,3,1.401,1
Kanaries_graphic-walker,253,observedobserver,14,1,89,3,9.212,1
Kanaries_graphic-walker,252,observedobserver,14,1,36,2,29.335,1
Kanaries_graphic-walker,250,observedobserver,13,5,3020,56,445.685,1
Kanaries_graphic-walker,241,jojocys,13,2,9194,43,20.445,1
Kanaries_graphic-walker,238,islxyqwe,13,15,1883,60,829.488,1
Kanaries_graphic-walker,232,jojocys,13,11,649,44,238.991,1
Kanaries_graphic-walker,274,islxyqwe,14,1,2,1,0.106,1
Kanaries_graphic-walker,317,islxyqwe,16,1,3,1,0.207,1
Kanaries_graphic-walker,276,observedobserver,14,1,25,2,2.575,1
Kanaries_graphic-walker,280,observedobserver,15,1,1547,32,285.1,1
Kanaries_graphic-walker,308,observedobserver,15,1,28,3,22.139,1
Kanaries_graphic-walker,306,islxyqwe,15,1,209,1,1.229,1
Kanaries_graphic-walker,305,observedobserver,15,1,160,2,3.297,1
Kanaries_graphic-walker,302,observedobserver,15,11,1799,48,25.561,1
Kanaries_graphic-walker,301,islxyqwe,15,2,79,7,17.945,1
Kanaries_graphic-walker,300,islxyqwe,15,4,994,21,18.728,1
Kanaries_graphic-walker,297,observedobserver,15,8,1562,62,16.611,1
Kanaries_graphic-walker,295,islxyqwe,15,1,3,1,1.174,1
Kanaries_graphic-walker,293,islxyqwe,15,1,155,8,44.535,1
Kanaries_graphic-walker,292,islxyqwe,15,1,24,3,45.974,1
Kanaries_graphic-walker,291,islxyqwe,15,7,467,16,46.329,1
Kanaries_graphic-walker,288,observedobserver,15,7,836,29,44.252,1
Kanaries_graphic-walker,284,observedobserver,15,5,241,17,42.058,1
Kanaries_graphic-walker,282,observedobserver,15,1,4,2,0.072,1
Kanaries_graphic-walker,278,islxyqwe,14,1,2,1,0.338,1
Kanaries_graphic-walker,319,observedobserver,16,2,13,2,5.344,1
Kanaries_graphic-walker,339,islxyqwe,17,6,418,38,54.644,1
Kanaries_graphic-walker,321,observedobserver,16,2,200,3,0.223,1
Kanaries_graphic-walker,353,islxyqwe,18,3,593,45,0.064,1
Kanaries_graphic-walker,314,observedobserver,16,3,104,4,0.451,1
Kanaries_graphic-walker,356,observedobserver,18,2,91,8,21.843,1
Kanaries_graphic-walker,359,observedobserver,18,3,11,3,0.197,1
Kanaries_graphic-walker,362,islxyqwe,18,1,140,6,1154.718,1
Kanaries_graphic-walker,364,observedobserver,18,2,10,5,0.403,1
Kanaries_graphic-walker,365,observedobserver,18,1,21,2,0.399,1
Kanaries_graphic-walker,367,islxyqwe,18,1,55,1,0.853,1
Kanaries_graphic-walker,368,observedobserver,18,1,34,2,0.197,1
Kanaries_graphic-walker,369,islxyqwe,18,1,342,3,0.167,1
Kanaries_graphic-walker,371,islxyqwe,18,1,19,2,1.481,1
Kanaries_graphic-walker,372,observedobserver,18,1,22,3,0.99,1
Kanaries_graphic-walker,374,observedobserver,18,3,426,8,95.859,1
Kanaries_graphic-walker,375,observedobserver,19,1,2,1,5.699,1
Kanaries_graphic-walker,377,islxyqwe,19,3,727,7,161.002,1
Kanaries_graphic-walker,320,observedobserver,16,1,148,2,0.352,1
Kanaries_graphic-walker,350,observedobserver,18,1,146,7,0.797,1
Kanaries_graphic-walker,352,islxyqwe,18,7,407,26,1.84,1
Kanaries_graphic-walker,348,observedobserver,17,2,83,17,1.656,1
