,phase,project_gpt,pull_number_gpt,is_gpt_pr,event_gpt,factor_gpt,factor_gpt_norm,duration_gpt,project_no_gpt,pull_number_no_gpt,is_no_gpt_pr,event_no_gpt,factor_no_gpt,factor_no_gpt_norm,duration_no_gpt,jaccard_distance,jaccard_similiarity,manhattan_distance,cosine_distance,cosine_similarity,euclidean_distance
13,at_review,BibliothecaDAO_eternum,458,GPT PR,gpt assistance,[ 0  0  0 13],[0. 0. 0. 1.],1.606,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
14,at_review,Bouni_python-luxtronik,154,GPT PR,gpt assistance,[ 0  0  0 65],[0. 0. 0. 1.],0.73,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
15,at_review,ChimeraOS_chimeraos,800,GPT PR,gpt assistance,[ 0  0  0 55],[0. 0. 0. 1.],0.928,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
16,at_review,City-of-Helsinki_linkedevents,889,GPT PR,gpt assistance,[  0   0   0 121],[0. 0. 0. 1.],0.213,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
17,at_review,Codium-ai_AlphaCodium,15,GPT PR,gpt assistance,[1 1 4 0],[0.25 0.25 1.   0.  ],43.46,combinatrix-ai_ask.sh,1,Not GPT PR,not gpt assistance,[1 1 4 0],[0.25 0.25 1.   0.  ],0.085,0.0,1.0,0.0,-0.0,1.0,0.0
18,at_review,Codium-ai_AlphaCodium,16,GPT PR,gpt assistance,[ 3  3 35  0],[0.086 0.086 1.    0.   ],43.08,radxa_debos-radxa,1,Not GPT PR,not gpt assistance,[ 11  14 139   0],[0.079 0.101 1.    0.   ],104.641,0.0,1.0,0.022,0.0,1.0,0.017
19,at_review,Codium-ai_AlphaCodium,19,GPT PR,gpt assistance,[1 1 3 0],[0.333 0.333 1.    0.   ],2.098,Indipage_SERVER,4,Not GPT PR,not gpt assistance,[2 2 6 0],[0.333 0.333 1.    0.   ],40.914,0.0,1.0,0.0,0.0,1.0,0.0
20,at_review,Codium-ai_AlphaCodium,32,GPT PR,gpt assistance,[1 1 2 0],[0.5 0.5 1.  0. ],1.159,allenai_OLMo,43,Not GPT PR,not gpt assistance,[1 1 2 0],[0.5 0.5 1.  0. ],0.222,0.0,1.0,0.0,-0.0,1.0,0.0
21,at_review,Codium-ai_AlphaCodium,35,GPT PR,gpt assistance,[  1   2 338   1],[0.    0.003 1.    0.   ],34.803,Wikia_ad-engine,1214,Not GPT PR,not gpt assistance,[    6   103 77410    66],[0.    0.001 1.    0.001],47.618,0.333,0.667,0.003,0.0,1.0,0.002
22,at_review,Codium-ai_AlphaCodium,38,GPT PR,gpt assistance,[0 0 0 2],[0. 0. 0. 1.],635.619,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
23,at_review,Codium-ai_AlphaCodium,40,GPT PR,gpt assistance,[5 5 9 1],[0.5 0.5 1.  0. ],39.081,allenai_OLMo,43,Not GPT PR,not gpt assistance,[1 1 2 0],[0.5 0.5 1.  0. ],0.222,0.0,1.0,0.0,0.005,0.995,0.0
24,at_review,Codium-ai_AlphaCodium,41,GPT PR,gpt assistance,[0 0 0 1],[0. 0. 0. 1.],6.161,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
25,at_review,Codium-ai_AlphaCodium,7,GPT PR,gpt assistance,[1 1 8 0],[0.125 0.125 1.    0.   ],38.805,boostcampwm2023_iOS10-OpenList,196,Not GPT PR,not gpt assistance,[ 3  3 21  1],[0.1 0.1 1.  0. ],2.416,0.0,1.0,0.05,0.001,0.999,0.035
26,at_review,Codium-ai_pr-agent,338,GPT PR,gpt assistance,[0 0 0 2],[0. 0. 0. 1.],9.565,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
27,at_review,Codium-ai_pr-agent,600,GPT PR,gpt assistance,[1 1 2 6],[0.  0.  0.2 1. ],0.2,aws-samples_awsome-distributed-training,246,Not GPT PR,not gpt assistance,[1 1 2 6],[0.  0.  0.2 1. ],96.293,0.0,1.0,0.0,0.0,1.0,0.0
28,at_review,Codium-ai_pr-agent,605,GPT PR,gpt assistance,[0 0 0 6],[0. 0. 0. 1.],0.09,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
29,at_review,Codium-ai_pr-agent,607,GPT PR,gpt assistance,[0 0 0 6],[0. 0. 0. 1.],0.037,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
30,at_review,Codium-ai_pr-agent,612,GPT PR,gpt assistance,[0 0 0 6],[0. 0. 0. 1.],102.951,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
31,at_review,Codium-ai_pr-agent,613,GPT PR,gpt assistance,[1 2 4 6],[0.  0.2 0.6 1. ],3.601,yast_yast-storage-ng,127,Not GPT PR,not gpt assistance,[ 1  2  8 12],[0.    0.091 0.636 1.   ],166.483,0.0,1.0,0.145,0.011,0.989,0.115
32,at_review,Codium-ai_pr-agent,614,GPT PR,gpt assistance,[ 2  2 12  6],[0.  0.  1.  0.4],0.196,0xk1h0_ChatGPT_DAN,62,Not GPT PR,not gpt assistance,[1 1 6 3],[0.  0.  1.  0.4],2.539,0.0,1.0,0.0,0.0,1.0,0.0
33,at_review,Codium-ai_pr-agent,616,GPT PR,gpt assistance,[0 0 0 6],[0. 0. 0. 1.],0.175,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
34,at_review,Codium-ai_pr-agent,618,GPT PR,gpt assistance,[1 1 6 6],[0. 0. 1. 1.],1.161,isucon_isucon11-final,212,Not GPT PR,not gpt assistance,[1 1 2 2],[0. 0. 1. 1.],0.591,0.0,1.0,0.0,0.044,0.956,0.0
35,at_review,Codium-ai_pr-agent,620,GPT PR,gpt assistance,[ 3  7 38  6],[0.    0.114 1.    0.086],0.301,NascentCore_3k,353,Not GPT PR,not gpt assistance,[ 1  7 63  6],[0.    0.097 1.    0.081],8.611,0.0,1.0,0.022,0.006,0.994,0.018
36,at_review,Codium-ai_pr-agent,621,GPT PR,gpt assistance,[ 6  7 41  6],[0.    0.029 1.    0.   ],9.099,woowacourse-teams_2023-hang-log,404,Not GPT PR,not gpt assistance,[  4  13 349   1],[0.009 0.034 1.    0.   ],6.914,0.333,0.667,0.014,0.027,0.973,0.01
37,at_review,Codium-ai_pr-agent,622,GPT PR,gpt assistance,[0 0 0 6],[0. 0. 0. 1.],3.101,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
38,at_review,Codium-ai_pr-agent,624,GPT PR,gpt assistance,[0 0 0 6],[0. 0. 0. 1.],0.695,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
39,at_review,Codium-ai_pr-agent,627,GPT PR,gpt assistance,[1 1 2 6],[0.  0.  0.2 1. ],0.12,aws-samples_awsome-distributed-training,246,Not GPT PR,not gpt assistance,[1 1 2 6],[0.  0.  0.2 1. ],96.293,0.0,1.0,0.0,0.0,1.0,0.0
40,at_review,Codium-ai_pr-agent,628,GPT PR,gpt assistance,[1 1 8 6],[0.    0.    1.    0.714],0.084,DGtal-team_DGtal,1416,Not GPT PR,not gpt assistance,[  3   4 143  97],[0.    0.007 1.    0.671],264.886,0.333,0.667,0.05,0.007,0.993,0.044
41,at_review,Codium-ai_pr-agent,629,GPT PR,gpt assistance,[  4   4 188   6],[0.    0.    1.    0.011],0.435,uptrain-ai_uptrain,590,Not GPT PR,not gpt assistance,[   4    6 1316   16],[0.    0.002 1.    0.009],51.741,0.333,0.667,0.004,0.001,0.999,0.003
42,at_review,Codium-ai_pr-agent,630,GPT PR,gpt assistance,[ 2  8 43  6],[0.    0.146 1.    0.098],1.27,NascentCore_3k,353,Not GPT PR,not gpt assistance,[ 1  7 63  6],[0.    0.097 1.    0.081],8.611,0.0,1.0,0.066,0.004,0.996,0.052
43,at_review,Codium-ai_pr-agent,634,GPT PR,gpt assistance,[0 0 0 6],[0. 0. 0. 1.],105.644,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
44,at_review,Codium-ai_pr-agent,636,GPT PR,gpt assistance,[0 0 0 6],[0. 0. 0. 1.],7.006,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
45,at_review,Codium-ai_pr-agent,638,GPT PR,gpt assistance,[ 3  6 48  6],[0.    0.067 1.    0.067],2.742,zotero-chinese_zotero-plugins,76,Not GPT PR,not gpt assistance,[ 2  4 41  5],[0.    0.051 1.    0.077],1.614,0.0,1.0,0.026,0.0,1.0,0.019
46,at_review,Codium-ai_pr-agent,639,GPT PR,gpt assistance,[0 0 0 6],[0. 0. 0. 1.],2.893,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
47,at_review,Codium-ai_pr-agent,650,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],2.892,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
48,at_review,Codium-ai_pr-agent,651,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.032,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
49,at_review,Codium-ai_pr-agent,654,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],1.686,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
50,at_review,Codium-ai_pr-agent,655,GPT PR,gpt assistance,[1 1 2 7],[0.    0.    0.167 1.   ],0.218,DIYgod_RSSHub,10242,Not GPT PR,not gpt assistance,[ 1  2 10 51],[0.   0.02 0.18 1.  ],11.939,0.333,0.667,0.033,0.015,0.985,0.024
51,at_review,Codium-ai_pr-agent,656,GPT PR,gpt assistance,[  5   8 131   7],[0.    0.024 1.    0.016],0.621,JohnSnowLabs_langtest,650,Not GPT PR,not gpt assistance,[  6   9 189   8],[0.    0.016 1.    0.011],30.101,0.0,1.0,0.013,0.0,1.0,0.009
52,at_review,Codium-ai_pr-agent,661,GPT PR,gpt assistance,[1 1 1 7],[0. 0. 0. 1.],1.443,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.029,0.971,0.0
53,at_review,Codium-ai_pr-agent,667,GPT PR,gpt assistance,[ 2  2 11  7],[0.    0.    1.    0.556],12.258,apache_kyuubi,4544,Not GPT PR,not gpt assistance,[  1   1 113  62],[0.    0.    1.    0.545],8.013,0.0,1.0,0.011,0.023,0.977,0.011
54,at_review,Codium-ai_pr-agent,670,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],48.773,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
55,at_review,Codium-ai_pr-agent,672,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],24.71,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
56,at_review,Codium-ai_pr-agent,673,GPT PR,gpt assistance,[ 2  2 57  7],[0.    0.    1.    0.091],1.071,freeCodeCamp_chinese,1160,Not GPT PR,not gpt assistance,[  7   7 529  54],[0.   0.   1.   0.09],4465.655,0.0,1.0,0.001,0.001,0.999,0.001
57,at_review,Codium-ai_pr-agent,674,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.069,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
58,at_review,Codium-ai_pr-agent,675,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.011,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
59,at_review,Codium-ai_pr-agent,677,GPT PR,gpt assistance,[1 1 4 7],[0.  0.  0.5 1. ],0.214,n3d1117_chatgpt-telegram-bot,101,Not GPT PR,not gpt assistance,[1 1 2 3],[0.  0.  0.5 1. ],28.215,0.0,1.0,0.0,0.022,0.978,0.0
60,at_review,Codium-ai_pr-agent,678,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.025,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
61,at_review,Codium-ai_pr-agent,679,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.028,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
62,at_review,Codium-ai_pr-agent,680,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.719,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
63,at_review,Codium-ai_pr-agent,681,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],24.61,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
64,at_review,Codium-ai_pr-agent,682,GPT PR,gpt assistance,[1 1 2 7],[0.    0.    0.167 1.   ],1.54,DIYgod_RSSHub,10242,Not GPT PR,not gpt assistance,[ 1  2 10 51],[0.   0.02 0.18 1.  ],11.939,0.333,0.667,0.033,0.015,0.985,0.024
65,at_review,Codium-ai_pr-agent,683,GPT PR,gpt assistance,[ 1  2 55  7],[0.    0.019 1.    0.111],0.134,Moonlark-Dev_XDbot2,427,Not GPT PR,not gpt assistance,[ 1  2 60  7],[0.    0.017 1.    0.102],0.757,0.0,1.0,0.011,0.0,1.0,0.009
66,at_review,Codium-ai_pr-agent,684,GPT PR,gpt assistance,[1 1 3 7],[0.    0.    0.333 1.   ],0.227,rhboot_shim,374,Not GPT PR,not gpt assistance,[  1   1  39 109],[0.    0.    0.352 1.   ],446.494,0.0,1.0,0.019,0.016,0.984,0.019
67,at_review,Codium-ai_pr-agent,687,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.058,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
68,at_review,Codium-ai_pr-agent,691,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.028,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
69,at_review,Codium-ai_pr-agent,694,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.205,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
70,at_review,Codium-ai_pr-agent,695,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],4.116,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
71,at_review,Codium-ai_pr-agent,696,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.084,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
72,at_review,Codium-ai_pr-agent,700,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],12.875,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
73,at_review,Codium-ai_pr-agent,701,GPT PR,gpt assistance,[ 2  2 22  7],[0.   0.   1.   0.25],2.778,YAPP-Github_onboard-server,79,Not GPT PR,not gpt assistance,[1 1 5 2],[0.   0.   1.   0.25],19.24,0.0,1.0,0.0,0.012,0.988,0.0
74,at_review,Codium-ai_pr-agent,706,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],4.436,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
75,at_review,Codium-ai_pr-agent,707,GPT PR,gpt assistance,[1 1 4 7],[0.  0.  0.5 1. ],4.569,n3d1117_chatgpt-telegram-bot,101,Not GPT PR,not gpt assistance,[1 1 2 3],[0.  0.  0.5 1. ],28.215,0.0,1.0,0.0,0.022,0.978,0.0
76,at_review,Codium-ai_pr-agent,709,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.032,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
77,at_review,Codium-ai_pr-agent,712,GPT PR,gpt assistance,[ 1  2 11  7],[0.  0.1 1.  0.6],0.153,Avaiga_taipy-doc,777,Not GPT PR,not gpt assistance,[ 1  5 36 22],[0.    0.114 1.    0.6  ],17.942,0.0,1.0,0.014,0.002,0.998,0.014
78,at_review,Codium-ai_pr-agent,714,GPT PR,gpt assistance,[1 1 2 7],[0.    0.    0.167 1.   ],49.172,DIYgod_RSSHub,10242,Not GPT PR,not gpt assistance,[ 1  2 10 51],[0.   0.02 0.18 1.  ],11.939,0.333,0.667,0.033,0.015,0.985,0.024
79,at_review,Codium-ai_pr-agent,715,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.03,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
80,at_review,Codium-ai_pr-agent,716,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.085,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
81,at_review,Codium-ai_pr-agent,717,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.21,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
82,at_review,Codium-ai_pr-agent,719,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.459,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
83,at_review,Codium-ai_pr-agent,720,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.038,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
84,at_review,Codium-ai_pr-agent,723,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.016,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
85,at_review,Codium-ai_pr-agent,725,GPT PR,gpt assistance,[ 1  1 22  7],[0.    0.    1.    0.286],0.118,sealdice_sealdice-core,26,Not GPT PR,not gpt assistance,[1 1 8 3],[0.    0.    1.    0.286],9.071,0.0,1.0,0.0,0.007,0.993,0.0
86,at_review,Codium-ai_pr-agent,727,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.007,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
87,at_review,Codium-ai_pr-agent,730,GPT PR,gpt assistance,[2 2 4 7],[0.  0.  0.4 1. ],48.836,goodjoblife_GoodJobShare,1204,Not GPT PR,not gpt assistance,[ 2  3 36 84],[0.    0.012 0.415 1.   ],182.762,0.333,0.667,0.027,0.05,0.95,0.019
88,at_review,Codium-ai_pr-agent,736,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.891,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
89,at_review,Codium-ai_pr-agent,744,GPT PR,gpt assistance,[ 3  3 19  8],[0.    0.    1.    0.312],91.633,patterns-ai-core_langchainrb,387,Not GPT PR,not gpt assistance,[ 3  3 12  6],[0.    0.    1.    0.333],0.961,0.0,1.0,0.021,0.007,0.993,0.021
90,at_review,Codium-ai_pr-agent,745,GPT PR,gpt assistance,[0 0 0 8],[0. 0. 0. 1.],1.485,EleutherAI_lm-evaluation-harness,902,Not GPT PR,not gpt assistance,[ 0  0  0 37],[0. 0. 0. 1.],0.001,0.0,1.0,0.0,0.0,1.0,0.0
